"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"75",75,"Jamaica",388,1.24172177,0.084936293,3.626392187,2810.464,4704.050492,0.001290318,0.000441821,3.02e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"76",76,"Japan",392,20.62522594,2.898212254,367.5091178,128542.349,44344.12458,0.002859051,0.000160455,2.25e-05,NA,NA,NA,"High","Medium","High","Medium"
"77",77,"Jordan",400,0.444850026,0.027654256,3.596332872,7261.541,3652.065081,0.000495258,6.13e-05,3.81e-06,NA,NA,NA,"MediumLow","Low","Low","Low"
"78",78,"Kazakhstan",398,3.63143815,0.098334588,27.11905764,16252.273,9109.328497,0.001668632,0.000223442,6.05e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"79",79,"Kenya",404,149.9306997,6.218037804,21.4650491,42030.684,951.6781896,0.000510699,0.003567172,0.00014794,NA,NA,NA,"Low","High","Low","High"
"80",80,"Kiribati",296,0.093075498,0.015238315,0.062147949,102.93,1516.861073,0.000603788,0.00090426,0.000148045,NA,NA,NA,"MediumLow","Medium","Medium","High"
"81",81,"Kuwait",414,0.173978372,0.005046022,1.038777079,2991.884,38576.3778,0.000347198,5.82e-05,1.69e-06,NA,NA,NA,"High","Low","Low","Low"
"82",82,"Kyrgyzstan",417,1.113376916,0.024056763,3.308517741,5422.298,884.1945319,0.000610169,0.000205333,4.44e-06,NA,NA,NA,"Low","Medium","Medium","Low"
"83",83,"Lao People's Democratic Republic",418,9.027252718,0.365454627,4.677613064,6249.168,1170.308459,0.000748518,0.001444553,5.85e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"84",84,"Latvia",428,0.247685932,0.024152203,6.307207263,2118.855,11234.29219,0.002976705,0.000116896,1.14e-05,NA,NA,NA,"MediumHigh","Low","High","Medium"
"85",85,"Lebanon",422,0.323620261,0.014247341,4.459907117,4953.064,7756.74581,0.000900434,6.53e-05,2.88e-06,NA,NA,NA,"MediumHigh","Low","Medium","Low"
