"","...5","...43","...53","...63","...68"
"105","48","419.428","563.69799999999998","889.15700000000004","1240.864"
"106","196","703.69399999999996","855.39099999999996","1027.6569999999999","1112.617"
"107","268","5211.4539999999997","4976.2520000000004","4210.1580000000004","4099.0959999999995"
"108","368","15555.807000000001","20149.342000000001","26922.278999999999","29741.976999999999"
"109","376","4035.0619999999999","5271.3680000000004","6529.47","7346.4459999999999"
"110","400","2900.0549999999998","4588.8419999999996","5765.6390000000001","7261.5410000000002"
"111","414","1735.278","1605.9069999999999","2270.1959999999999","2991.884"
"112","422","2651.9920000000002","3528.3789999999999","4698.7610000000004","4953.0640000000003"
"113","512","1498.413","2204.2669999999998","2511.2539999999999","3041.4349999999999"
"114","634","370.88600000000002","513.447","865.41","1856.329"
"115","682","13118.998","18638.79","23816.174999999999","27421.468000000001"
"116","275","1759.5329999999999","2618.6709999999998","3577.9560000000001","4055.6320000000001"
"117","760","10648.633","14345.491","18361.178","21362.541000000001"
"118","792","49133.928","58486.453000000001","67903.460999999996","72326.991999999998"
"119","784","1366.165","2415.0990000000002","4588.2219999999998","8549.9979999999996"
"120","887","9572.17","14913.313","20107.416000000001","23154.853999999999"
"121","921","1105791.297","1376199.571","1647073.7890000001","1775360.5330000001"
"122","5500","45501.798000000003","53169.133000000002","58449.898000000001","62805.087"
"123","398","15665.593999999999","15839.357","15402.803","16252.272999999999"
"124","417","3993.0770000000002","4566.0959999999995","5075.34","5422.2979999999998"
"125","762","4537.82","5764.8059999999996","6789.3180000000002","7527.3969999999999"
"126","795","3244.0239999999999","4207.8410000000003","4754.652","5087.2110000000002"
"127","860","18061.282999999999","22791.032999999999","26427.785","28515.907999999999"
"128","5501","1060289.4990000001","1323030.4380000001","1588623.8910000001","1712555.446"
"129","4","11938.204","18110.662","25654.274000000001","29185.510999999999"
"130","50","90764.18","115169.933","139035.505","147575.43299999999"
"131","64","464.26400000000001","534.62900000000002","648.74400000000003","685.50199999999995"
"132","356","784360.01199999999","963922.58600000001","1147609.9240000001","1234281.1629999999"
"133","364","47347.197","61442.658000000003","69762.345000000001","73762.519"
"134","462","189.54","254.14400000000001","319.60399999999998","365.73"
"135","524","16858.314999999999","21576.074000000001","25744.5","27013.206999999999"
"136","586","92191.505000000005","123776.83500000001","160304.00700000001","179424.64300000001"
"137","144","16176.281999999999","18242.917000000001","19544.988000000001","20261.738000000001"
"138","1832","1684698.0349999999","1950219.95","2125348.4019999998","2201806.6740000001"
"139","906","1283950.2819999999","1464564.639","1564192.321","1604859.4280000001"
"140","156","1075589.3629999999","1240920.5390000001","1330776.3799999999","1368810.6040000001"
"141","344","5287.0230000000001","6084.2340000000004","6769.5789999999997","6966.3239999999996"
"142","446","283.49","385.517","482.863","538.21500000000003"
"143","158","19303.401999999998","21356.025000000001","22705.719000000001","23187.556"
"144","408","18877.225999999999","21862.3","23904.167000000001","24548.84"
"145","392","121883.48299999999","126365.486","128326.11500000001","128542.349"
"146","496","1921.8889999999999","2298.0169999999998","2526.4290000000001","2719.902"
"147","410","40804.406000000003","45292.521000000001","48701.069000000003","49545.637999999999"
"148","920","400747.75300000003","485655.31099999999","561156.08100000001","596947.24600000004"
"149","96","224.44","297.11200000000002","365.11200000000002","388.63400000000001"
"150","116","7714.8940000000002","10656.145","13273.355","14312.205"
"151","360","164982.45199999999","196934.25700000001","226289.46799999999","241834.226"
"152","418","3687.8890000000001","4846.4769999999999","5751.6750000000002","6249.1679999999997"
"153","458","15598.924000000001","20487.603999999999","25690.615000000002","28208.027999999998"
"154","104","37977.087","43901.597999999998","48949.930999999997","50600.826999999997"
"155","608","54275.836000000003","69784.087","86326.251000000004","93966.784"
"156","702","2705.5369999999998","3525.9639999999999","4265.6930000000002","5131.17"
"157","764","52026.900999999998","59467.271999999997","65416.188999999998","67195.032000000007"
"158","626","657.06100000000004","844.33299999999997","995.13","1093.5170000000001"
"159","704","60896.732000000004","74910.462","83832.661999999997","87967.654999999999"
"160","1830","402023.66200000001","483018.22600000002","557500.98100000003","591352.34499999997"
"161","915","31775.147000000001","36162.184000000001","39745.796999999999","41217.339999999997"
"162","660","7.2919999999999998","9.8680000000000003","12.442","13.436"
"163","28","61.784999999999997","68.671999999999997","81.462000000000003","88.03"
"164","533","63.024000000000001","80.323999999999998","100.02800000000001","101.66500000000001"
"165","44","234.57900000000001","280.17899999999997","324.84800000000001","354.93599999999998"
"166","52","256.26","265.95499999999998","276.32","282.13099999999997"
"167","535","12.023999999999999","15.101000000000001","14.398999999999999","20.940999999999999"
